,Col 1
3462,Rest Day
3463,"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.; Use as many sets each minute as needed.; Post number of minutes completed to comments.; Compare to 070618."
3464,"For time:  50 Ring Dips  Run 400 meters  50 Push-ups  Run 400 meters  50 Handstand push-ups  Run 400 meters; Push-ups are honest push-ups. Handstand push-ups are ""nose to floor"".; Post time to comments.; Compare to 070801."
3465,Clean 1-1-1-1-1-1-1-1-1-1 reps; Post loads to comments.; Take each clean from the ground and catch in a squat.; Compare to 070117.
3466,Rest Day
3467,Michael; Three rounds for time of:  Run 800 meters  50 Back Extensions  50 Sit-ups; Post time to comments.; Compare to 070919.
3468,"Tabata Something Else; Complete 32 intervals of 20 seconds of work followed by ten seconds of rest where the first 8 intervals are pull-ups, the second 8 are push-ups, the third 8 intervals are sit-ups, and finally, the last 8 intervals are squats. There is no rest between exercises.; Post total reps from all 32 intervals to comments.; Compare to 070821."
3469,Lynne; Five rounds for max reps of:  Body weight bench press  Pull-ups; Post reps for both exercises in all rounds.; Compare to 070526.
3470,Rest Day
3471,"21, 15, and 9 rep rounds for time of:  95 pound Squat clean  L Pull-ups  95 pound Thruster  Handstand Push-ups; Post time to comments."
3472,"CrossFit Total; Back squat, 1 rep  Shoulder Press, 1 rep  Deadlift, 1 rep; Post total to comments.; Compare to 070901."
3473,Run 10 K; Post time to comments.; Compare to 071016.
3474,Rest Day
3475,"Fran; Three rounds, 21-15- and 9 reps, for time of:  95 pound Thruster  Pull-ups; Post time to comments.; Compare to 070826."
3476,Run 10 K; Post time to comments.; Compare to 070719.
3477,Helen; Three rounds for time:  Run 400 meters  1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)  12 Pull-ups; Post time to comments.; Compare to 070906.
3478,Rest Day
3479,Mary; Complete as many rounds as possible in twenty minutes of:; 5 Handstand Push-ups  10 One legged squats  15 Pull-ups; Post round completed to comments.
3480,"Murph; For time:  1 mile Run  100 Pull-ups  200 Push-ups  300 Squats  1 mile Run; Partition the pull-ups, push-ups, and squats as needed. Start and finish with a mile run. If you've got a twenty pound vest or body armor, wear it.; Post time to comments.; Compare to 070816."
3481,Linda; 10-9-8-7-6-5-4-3-2-1 reps of the triplet:; Deadlift: 1 1/2 body weight  Bench press: body weight  Clean: 3/4 body weight; Set up three bars and storm through for time.; Post time to comments.; Compare to 070727.
3482,Rest Day
3483,Five rounds for time of:  50 Squats  100 Rope jumps; Post time to comments.
3484,Weighted pull-ups 1-1-1-1-1-1-1 reps; Post loads and body weight to comments.; Compare to 070717.
3485,J.T.; 21-15-9 reps of:  Handstand push-ups  Ring dips  Push-ups; Post time to comments.; Compare to 070818.
3486,Rest Day
3487,"For time:  Run 400 meters  75 pound Powerclean, 50 reps  40 L Pull-ups  Run 400 meters  75 pound Powerclean, 40 reps  30 L Pull-ups  Run 400 meters  75 pound Powerclean, 30 reps  20 L Pull-ups  Run 400 meters; Post time to comments."
3488,Back Squat 3-3-3-3-3 reps; Post loads to comments.
3489,"For time:  Run 400 meters  60 Wall-ball shots, 20 pound ball  30 Handstand push-ups  Run 400 meters  40 Wall-ball shots, 20 pound ball  20 Handstand push-ups  Run 400 meters  30 Wall-ball shots, 20 pound ball  15 Handstand push-ups  Run 400 meters; Post time to comments."
3490,Rest Day
3491,"Three rounds for time of:  35 Double-unders  95 pound Thrusters, 25 reps  15 Pull-ups; Post time to comments."
3492,Deadlift 1-1-1-1-1-1-1 reps; Post loads to comments.; Compare to 070825.
3493,"Cindy  Complete as many rounds in 20 minutes as you can of:  5 Pull-ups  10 Push-ups  15 Squats; OR; ""Mary""  Complete as many rounds in 20 minutes as you can of:  5 Handstand Push-ups  10 One legged squats, alternating  15 Pull-ups; Post your choice of girls and rounds completed to comments.; Compare to 070708."
3494,Rest Day
3495,Nicole; Complete as many rounds in 20 minutes as you can of:  Run 400 meters  Max rep Pull-ups; Post number of pull-ups completed for each round to comments.; Compare to 070809.
3496,Run 5 K; Post time to comments.; Compare to 070830.
3497,"Five rounds for time of:  95 pound Sumo deadlift high-pull, 15 reps  95 pound Thruster, 15 reps; Post time to comments."
3498,Rest Day
3499,30 Muscle-ups for time; Post time to comments.; If you cannot do the muscle-ups do 120 pull-ups and 120 dips.; Compare to 070701.
3500,"Isabel; For time:  Snatch 135 pounds, 30 reps; Use 95 pounds, 65 pounds or broomstick as needed and post time and load to comments.; Compare to 070707."
3501,"Grace; 135 pound Clean and Jerk, 30 reps; Use 95 pounds, 65 pounds or broomstick as needed and post time and load to comments.; Compare to 070812."
3502,Rest Day
3503,Michael; Three rounds for time of:  Run 800 meters  50 Back Extensions  50 Sit-ups; Post time to comments.; Compare to 070817.
3504,"For time:  Row 2K  50 Wall-ball shots, 20 pound ball  Row 1K  35 Wall-ball shots, 20 pound ball  Row 500 meters  20 Wall-ball shots, 20 pound ball; Post time to comments.; Compare to 040401."
3505,Diane; 21-15-9 reps of:  225 pound Deadlift  Handstand push-ups; Post time to comments.; Compare to 070715.
3506,Rest Day
3507,Power clean 3-3-3-3-3 reps; Post loads to comments.
3508,Three rounds for time of:  50 Double-unders  75 Squats; Post time to comments.
3509,"Three rounds, 15-12-and 9 reps, for time of:  135 pound barbell Thrusters  45 pound weighted Pull-ups; For weighted pull-ups, placing a 45 pound dumbbell between the legs above crossed ankles works great.; Post time to comments."
3510,Rest Day
3511,"Three rounds for time of:  50 Pull-ups  185 pound Deadlift, 21 reps; Post time to comments."
3512,Shoulder press 1-1-1-1-1 reps  Push press 3-3-3-3-3 reps  Push Jerk 5-5-5-5-5 reps; Post loads to comments.; Compare to 070810.
3513,Front Squat 1-1-1-1-1-1-1-1-1-1 reps; Post loads to comments.
3514,Rest Day
3515,"For time:  50 Box jump, 24 inch box  50 Jumping pull-ups  50 Kettlebell swings, 1 pood  Walking Lunge, 50 steps  50 Knees to elbows  50 Push press, 45 pounds  50 Back extensions  50 Wall ball shots, 20 pound ball  50 Burpees  50 Double unders; Post time to comments.; Compare to 070329."
3516,Helen; Three rounds for time:  Run 400 meters  1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)  12 Pull-ups; Post time to comments.; Compare to 070723.
3517,Elizabeth; 21-15-9 reps of:  Clean 135 pounds  Ring dips; Post time to comments.; Compare to 070805.
3518,Rest Day
3519,"Nancy; Five rounds for time of:  400 meter run  95 pound Overhead squat, 15 reps; Post time to comments.; Compare to 070520."
3520,Five rounds for time of:  30 Glute-ham sit-ups  25 Back extensions; Post time to comments.
3521,"CrossFit Total; Back squat, 1 rep  Shoulder Press, 1 rep  Deadlift, 1 rep; Post total to comments.; Compare to 070704."
3522,Rest Day
3523,Run 5 K; Post time to comments.; Compare to 070814.
3524,"With a continuously running clock do one muscle-up the first minute, two muscle-ups the second minute, three muscle-ups the third minute... continuing as long as you are able.; Use as many sets each minute as needed.; Post number of minutes completed to comments."
3525,400 meter Walking lunge; Post time and number of steps to comments.
3526,Rest Day
3527,"Fran; Three rounds, 21-15- and 9 reps, for time of:  95 pound Thruster  Pull-ups; Post time to comments.; Compare to 070623."
3528,Deadlift 1-1-1-1-1-1-1 reps; Post loads to comments.; Compare to 070525.
3529,Five rounds for time of:  50 Squats  30 Pull-ups  15 Handstand push-ups; Post time to comments.
3530,Rest Day
3531,Shoulder Press 5-5-5-5-5 reps; Post loads to comments.; Compare to 070105.
3532,"Tabata Something Else; Complete 32 intervals of 20 seconds of work followed by ten seconds of rest where the first 8 intervals are pull-ups, the second 8 are push-ups, the third 8 intervals are sit-ups, and finally, the last 8 intervals are squats. There is no rest between exercises.; Post total reps from all 32 intervals to comments.; Compare to 060919."
3533,Rest Day
3534,J.T.; 21-15-9 reps of:  Handstand push-ups  Ring dips  Push-ups; Post time to comments.; Compare to 070621.
3535,Michael; Three rounds for time of:  Run 800 meters  50 Back Extensions  50 Sit-ups; Post time to comments.; Compare to 070522.
3536,"Murph; For time:  1 mile Run  100 Pull-ups  200 Push-ups  300 Squats  1 mile Run; Partition the pull-ups, push-ups, and squats as needed. Start and finish with a mile run. If you've got a twenty pound vest or body armor, wear it.; Post time to comments.; Compare to 070629."
3537,Rest Day
3538,Run 5 K; Post time to comments.; Compare to 070804.
3539,50-40-30-20-10 rep rounds of:  L Pull-ups  Double unders  Glute Ham Sit-ups  Back Extensions; Post time to comments.
3540,Rest Day
3541,Shoulder press 1-1-1-1-1 reps  Push press 3-3-3-3-3 reps  Push Jerk 5-5-5-5-5 reps; Post loads to comments.
3542,Nicole; Complete as many rounds in 20 minutes as you can of:  Run 400 meters  Max rep Pull-ups; Post number of pull-ups completed for each round to comments.; Compare to 061211.
3543,Back Squat 3-3-3-3-3-3-3 reps; Post loads to comments.
3544,Rest Day
3545,Snatch 1-1-1-1-1-1-1 reps; Post loads to comments.
3546,Elizabeth; 21-15-9 reps of:  Clean 135 pounds  Ring dips; Post time to comments.; Compare to 070613.
3547,Run 5 K; Post time to comments.; Compare to 070725.
3548,Rest Day
3549,Jason; For time:  100 Squats  5 Muscle-ups  75 Squats  10 Muscle-ups  50 Squats  15 Muscle-ups  25 Squats  20 Muscle-ups; Post time to comments.
3550,"For time:  50 Ring Dips  Run 400 meters  50 Push-ups  Run 400 meters  50 Handstand push-ups  Run 400 meters; Push-ups are honest push-ups. Handstand push-ups are ""nose to floor"".; Post time to comments."
3551,For time:  Run 800 meters  40 L pull-ups  Run 800 meters  40 Strict pull-ups  Run 800 meters  40 Kipping pull-ups; Post time to comments.
3552,Rest Day
3553,Five rounds for time of:  Run 400 meters  25 Back extensions; Post time to comments.
3554,Complete as many rounds in 20 minutes as you can of:  10 L-pull-ups  15 Glute-ham developer sit-ups; Post rounds completed to comments.
3555,Linda; 10-9-8-7-6-5-4-3-2-1 reps of the triplet:; Deadlift: 1 1/2 body weight  Bench press: body weight  Clean: 3/4 body weight; Set up three bars and storm through for time.; Post time to comments.; Compare to 070424.
3556,Rest Day
3557,Run 5 K; Post time to comments.; Compare to 070626.
3558,Push Jerk 3-3-3-3-3-3-3 reps; Post loads to comments.
3559,Helen; Three rounds for time:  Run 400 meters  1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)  12 Pull-ups; Post time to comments.; Compare to 070414.
3560,Rest Day
3561,"Fight Gone Bad!; Three rounds of:  Wall-ball, 20 pound ball, 10 ft target (Reps)  Sumo deadlift high-pull, 75 pounds (Reps)  Box Jump, 20"" box (Reps)  Push-press, 75 pounds (Reps)  Row (Calories); In this workout you move from each of five stations after a minute.The clock does not reset or stop between exercises. This is a five-minute round from which a one-minute break is allowed before repeating. On call of ""rotate"", the athletes must move to next station immediately for best score. One point is given for each rep, except on the rower where each calorie is one point.; Add your points and post them to comments.; Compare to 061219."
3562,Front Squat 5-5-5-5-5 reps; Post loads to comments.
3563,Complete twenty rounds of:  5 Pull-ups  10 Push-ups  15 Squats; Post time to comments.
3564,Rest Day
3565,Weighted pull-ups 1-1-1-1-1-1-1 reps; Post loads and body weight to comments.; Compare to 070323.
3566,Hang squat clean 1-1-1-1-1-1-1 reps; Post loads to comments.
3567,Diane; 21-15-9 reps of:  225 pound Deadlift  Handstand push-ups; Post time to comments.; Compare to 070609.
3568,Rest Day
3569,Bench Press 1-1-1-1-1-1-1 reps; Post loads to comments.
3570,"For time:  25 Walking lunge steps  20 Pull-ups  50 Box jumps, 20 inch box  20 Double-unders  25 Ring dips  20 Knees to elbows  30 Kettlebell swings, 2 pood  30 Sit-ups  20 Hang squat cleans, 35 pound dumbells  25 Back extensions  30 Wall ball shots, 20 pound ball  3 Rope climb ascents; Post time to comments.; Compare to 060702."
3571,Back Squat 1-1-1-1-1-1-1 reps; Post loads to comments.
3572,Rest Day
3573,"Tabata Sumo deadlift high pull, 45 pound barbell  Rest 1 minute  Tabata Squat  Rest 1 minute  Tabata Pull-up  Rest 1 minute  Tabata Push-up  Rest 1 minute  Tabata Sit-up; The Tabata interval is 20 seconds of work followed by 10 seconds of rest for 8 intervals.  Tabata score is the least number of reps performed in any of the eight intervals.; Post Tabata score for each exercise to comments and total for final score.  E.G., 10, 22, 9, 15, 15 = 71; Compare to 042210."
3574,"Cindy  Complete as many rounds in 20 minutes as you can of:  5 Pull-ups  10 Push-ups  15 Squats; OR; ""Mary""  Complete as many rounds in 20 minutes as you can of:  5 Handstand Push-ups  10 One legged squats, alternating  15 Pull-ups; Post your choice of girls and rounds completed to comments.; Compare to 070524."
3575,"Isabel; For time:  Snatch 135 pounds, 30 reps; Use 95 pounds, 65 pounds or broomstick as needed and post time and load to comments.; Compare to 060511."
3576,Rest Day
3577,"Row 1 K  Five rounds of:  25 Pull-ups  135 pound Push jerk, 7 reps; Post time to comments."
3578,"CrossFit Total; Back squat, 1 rep  Shoulder Press, 1 rep  Deadlift, 1 rep; Post total to comments.; Compare to 070601."
3579,Annie; 50-40-30-20 and10 rep rounds of:  Double-unders  Sit-ups; Post time to comments.; Compare to 061006.
3580,Rest Day
3581,30 Muscle-ups for time; Post time to comments.; If you cannot do the muscle-ups do 120 pull-ups and 120 dips.; Compare to 070603.
3582,Hang power clean 1-1-1-1-1-1-1 reps; Post loads to comments.
3583,"Murph; For time:  1 mile Run  100 Pull-ups  200 Push-ups  300 Squats  1 mile Run; Partition the pull-ups, push-ups, and squats as needed. Start and finish with a mile run. If you've got a twenty pound vest or body armor, wear it.; Post time to comments.; Compare to 061205."
3584,Rest Day
3585,"Three rounds for time of:  45 pound Thruster, 50 reps  35 Pull-ups; Post time to comments."
3586,Run 5 K; Post time to comments.; Compare to 070610.
3587,Front Squat 1-1-1-1-1-1-1 reps; Post loads to comments.
3588,Rest Day
3589,"Fran; Three rounds, 21-15- and 9 reps, for time of:  95 pound Thruster  Pull-ups; Post time to comments.; Compare to 070201."
3590,Complete as many rounds as you can in twenty minutes of:  5 Box Jumps  10 L-Pullups  15 Knees-to-Elbows; Post rounds completed to comments.
3591,J.T.; 21-15-9 reps of:  Handstand push-ups  Ring dips  Push-ups; Post time to comments.; Compare to 061012.
3592,Rest Day
3593,"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.; Use as many sets each minute as needed.; Post number of minutes completed to comments.; Compare to 070518."
3594,21-18-15-12- and 9 rep rounds of:  95 pound Deadlift  95 pound Hang power clean  95 pound Front squat  95 pound Push jerk; Post time to comments.
3595,Rest Day
3596,Overhead squat 3-3-3-3-3-3-3 reps; Post loads to comments.; Compare to 070422.
3597,"Complete as many rounds in 20 minutes as you can of:  15 Double-unders  15 Burpees  15 Box Jump  15 ft Rope climb, 1 ascent; Post rounds and fractions of rounds completed to comments.; Compare to 051130."
3598,Elizabeth; 21-15-9 reps of:  Clean 135 pounds  Ring dips; Post time to comments.; Compare to 070410.
3599,Rest Day
3600,Back Squat 3-3-3-3-3-3-3 reps; Post loads to comments.; Compare to 070301.
3601,Run 5 K; Post time to comments.; Compare to 070411.
3602,Diane; 21-15-9 reps of:  225 pound Deadlift  Handstand push-ups; Post time to comments.; Compare to 070124.
3603,Rest Day
3604,"Five rounds for time of:  Run 400 meters  65 pound Thruster, 30 reps; Post time to comments."
3605,Angie; For time:  100 Pull-ups  100 Push-ups  100 Sit-ups  100 Squats; Post time to comments.; Compare to 070402.
3606,Snatch 1-1-1-1-1-1-1 reps; Post loads to comments.
3607,Rest Day
3608,30 Muscle-ups for time; Post time to comments.; If you cannot do the muscle-ups do 120 pull-ups and 120 dips.; Compare to 070426.
3609,"Five rounds for time of:  25 Wallball shots, 20 pound ball - 10 foot target  30 Pull-ups; Post time to comments.; Compare to 050814."
3610,"CrossFit Total; Back squat, 1 rep  Shoulder Press, 1 rep  Deadlift, 1 rep; Post total to comments.; Compare to 070509."
3611,Rest Day
3612,"Three rounds for time of:  Row 500 meters  50 Wall Ball shots; Post time to comments.; If you don't have access to a C2 Rower, substitute 400 meter runs."
3613,Ten sprints for time:  Run 100 meters; Post best and worst time to comments.; Compare to 070227.
3614,"Complete as many rounds in twenty minutes as you can of:  50 pound Weighted pull-ups, 5 reps  Bodyweight overhead squat, 5 reps; Scale as needed.; Post loads and rounds completed to comments."
3615,Rest Day
3616,Lynne; Five rounds for max reps of:  Body weight bench press  Pull-ups; Post reps for both exercises in all rounds.; Compare to 070420.
3617,Deadlift 1-1-1-1-1-1-1 reps; Post loads to comments.; Compare to 070408.
3618,"Cindy  Complete as many rounds in 20 minutes as you can of:  5 Pull-ups  10 Push-ups  15 Squats; OR; ""Mary""  Complete as many rounds in 20 minutes as you can of:  5 Handstand Push-ups  10 One legged squats, alternating  15 Pull-ups; Post your choice of girls and rounds completed to comments.; Compare to 070416."
3619,Rest Day
3620,Michael; Three rounds for time of:  Run 800 meters  50 Back Extensions  50 Sit-ups; Post time to comments.; Compare to 070325.
3621,Four rounds for time of:  5 Muscle-ups  50 Squats; Post time to comments.
3622,"Nancy; Five rounds for time of:  400 meter run  95 pound Overhead squat, 15 reps; Post time to comments.; Compare to 070428."
3623,Rest Day
3624,"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.; Use as many sets each minute as needed.; Post number of minutes completed to comments.; Compare to 061126."
3625,Push press 3-3-3-3-3-3-3 reps; Post loads to comments.; Compare to 070501.
3626,"Three rounds for time of:  Walking lunge, 100 ft  50 Squats  25 Back extensions; Post time to comments.; Compare to 051226."
3627,Rest Day
3628,15-12-9 reps of:  155 pound Hang power cleans  Muscle-ups; Post time to comments.
3629,Back squat 5-5-5-5-5 reps; Post loads to comments.; Compare to 070205.
3630,50-40-30-20- and 10 rep rounds of:  Double unders  Glute-ham sit-ups  Back extensions; Post time to comments.
3631,Rest Day
3632,"Five rounds for time of:  95 pound Power clean, 21 reps  12 Handstand push-ups; Post time to comments."
3633,"CrossFit Total; Back squat, 1 rep  Shoulder Press, 1 rep  Deadlift, 1 rep; Post total to comments.; Compare to 070412."
3634,Run 10 K; Post time to comments.; Compare to 070209.
3635,Rest Day
3636,"Complete as many rounds as you can in twenty minutes of:  135 pound barbell Thruster, 7 reps  Weighted pull-up, 50 lbs, 7 reps; Post rounds completed to comments."
3637,Power Snatch 3-3-3-3-3-3-3 reps; Post loads to comments.; Power Snatch - video [wmv] [mov]
3638,"Complete as many rounds in twenty minutes as you can of:  65 pound barbell Thruster, 15 reps  21 Jumping pull-ups; Post rounds completed to comments.; Set-up so that your pull-up bar is about nine inches below your max reach and jump vigorously for each rep. Count only the reps where you go from full arm and shoulder extension to chin over the bar.; WOD demo - video [wmv] [mov]"
3639,Rest Day
3640,"For time:  225 pound Deadlift, 21 reps  30 Glute-ham sit-ups  225 pound Deadlift, 15 reps  20 Glute-ham sit-ups  225 pound Deadlift, 9 reps  10 Glute-ham sit-ups; Post time to comments."
3641,Push press 3-3-3-3-3-3-3 reps; Post loads to comments.; Compare to 070322.
3642,21-18-15-12-9-6- and 3 rep rounds of:  1 1/2 pood Kettlebell swing  Pull-ups; Post time to comments.
3643,Rest Day
3644,"Nancy; Five rounds for time of:  400 meter run  95 pound Overhead squat, 15 reps; Post time to comments.; Compare to 061231."
3645,"Complete as many rounds as you can in twenty minutes of:  65 pound Hang squat clean, 12 reps  7 Pull-ups; Post rounds completed to comments.; Compare to 060614."
3646,30 Muscle-ups for time; Post time to comments.; If you cannot do the muscle-ups do 120 pull-ups and 120 dips.; Compare to 070203.
3647,Rest Day
3648,Linda; 10-9-8-7-6-5-4-3-2-1 reps of the triplet:; Deadlift: 1 1/2 body weight  Bench press: body weight  Clean: 3/4 body weight; Set up three bars and storm through for time.; Post time to comments.; Compare to 070215.
3649,For time:  50 Wall-ball shots  50 Pull-ups  35 Wall-ball shots  35 Pull-ups  20 Wall-ball shots  20 Pull-ups; Use 20 pound medicine ball launched to a target ten feet above the ground.; Post time to comments.; Compare to 051228.; WOD demo - video [wmv] [mov]
3650,Overhead squat 3-3-3-3-3-3-3 reps; Post loads to comments.
3651,Rest Day
3652,Lynne; Five rounds for max reps of:  Body weight bench press  Pull-ups; Post reps for both exercises in all rounds.; Compare to 061217.; WOD demo - video [mwv] [mov]
3653,Michael; Three rounds for time of:  Run 800 meters  50 Back Extensions  50 Sit-ups; Post time to comments.; Compare to 070325
3654,"Three rounds for time of:  Row 500 meters  75 pound Hang power snatch, 21 reps; Post time to comments.; Compare to 060114.; WOD demo - video [wmv] [mov]"
3655,Rest Day
3656,"Cindy  Complete as many rounds in 20 minutes as you can of:  5 Pull-ups  10 Push-ups  15 Squats; OR; ""Mary""  Complete as many rounds in 20 minutes as you can of:  5 Handstand Push-ups  10 One legged squats, alternating  15 Pull-ups; Post your choice of girls and rounds completed to comments.; Compare to 070318."
3657,Push Jerk 5-5-5-5-5 reps; Post loads to comments.
3658,Helen; Three rounds for time:  Run 400 meters  1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)  12 Pull-ups; Post time to comments.; Compare to 070309.
3659,Rest Day
3660,"CrossFit Total; Back squat, 1 rep  Shoulder Press, 1 rep  Deadlift, 1 rep; Post total to comments.; Compare to 070317."
3661,Run 5 K; Post time to comments.; Compare to 070330.
3662,Elizabeth; 21-15-9 reps of:  Clean 135 pounds  Ring dips; Post time to comments.; Compare to 070126.
3663,Rest Day
3664,Deadlift 1-1-1-1-1-1-1 reps; Post loads to comments.; Compare to 070221.
3665,"15-12, and 9 rep rounds of:  Back squat  Handstand push-up; Post loads to comments."
3666,"Complete as many rounds in 20 minutes as you can of:  65 pound Thruster, 10 reps  10 Pull-ups; Post rounds completed to comments."
3667,Rest Day
3668,Three rounds for time:  12 Muscle-ups  30 Back extensions  Run 400 meters; Post time to comments.
3669,Clean & Jerk 1-1-1-1-1-1-1 reps; Post loads to comments.
3670,Angie; For time:  100 Pull-ups  100 Push-ups  100 Sit-ups  100 Squats; Post time to comments.; Compare to 070129.
3671,Rest Day
3672,Power clean 1-1-1-1-1-1-1-1-1-1 reps; Post loads to comments.
3673,Run 5 K; Post time to comments.; Compare to 070305.
3674,"For time:  50 Box jump, 24 inch box  50 Jumping pull-ups  50 Kettlebell swings, 1 pood  Walking Lunge, 50 steps  50 Knees to elbows  50 Push press, 45 pounds  50 Back extensions  50 Wall ball shots, 20 pound ball  50 Burpees  50 Double unders; Post time to comments.; Compare to 070121."
3675,Rest Day
3676,Front Squat 1-1-1-1-1-1-1 reps; Post loads to comments.; Compare to 070114.
3677,"Tabata Fight Gone Bad; Complete 40 intervals of 20 seconds of work followed by ten seconds of rest. Perform 8 consecutive intervals of each of the following exercises:; Wall-ball 20 pound ball, 10 ft target. (Reps)  Sumo deadlift high-pull 75 pounds (Reps)  Box Jump 20"" box (Reps)  Push-press 75 pounds (Reps)  Row (Calories); There is no additional rest between exercises.; Each exercise is scored by the weakest number of reps (calories on the rower) in each of the eight intervals. The score is the total of the scores from the five stations.; Post score to comments."
3678,Michael; Three rounds for time of:  Run 800 meters  50 Back Extensions  50 Sit-ups; Post time to comments.; Compare to 070213.
3679,Rest Day
3680,Weighted pull-ups 1-1-1-1-1-1-1 reps; Post loads and body weight to comments.
3681,Push press 3-3-3-3-3-3-3 reps; Post loads to comments.; Compare to 070128.
3682,"Nasty Girls; 3 rounds for time of:  50 Squats  7 Muscle-ups  135 pound Hang power cleans, 10 reps; Post time to comments.; Compare to 051204."
3683,Rest Day
3684,Four rounds for time:  Run 400 meters  Rest 2 minutes; Post time to comments.
3685,"Cindy  Complete as many rounds in 20 minutes as you can of:  5 Pull-ups  10 Push-ups  15 Squats; OR; ""Mary""  Complete as many rounds in 20 minutes as you can of:  5 Handstand Push-ups  10 One legged squats, alternating  15 Pull-ups; Post your choice of girls and rounds completed to comments.; Compare to 070225."
3686,"CrossFit Total; Back squat, 1 rep  Shoulder Press, 1 rep  Deadlift, 1 rep; Post total to comments.; Compare to 070217."
3687,Rest Day
3688,Deadlift 3-3-3-3-3-3-3 reps; Post loads to comments.
3689,For time:  30 Handstand push-ups  10 Pull-ups  20 Handstand push-ups  20 Pull-ups  10 Handstand push-ups  30 Pull-ups; Post time to comments.; Compare to 070222.
3690,"Five rounds for time of:  45 pound barbell Overhead walking lunges, 50 feet  21 Burpees; Let trailing knee gently kiss the ground on each lunge.; Post time to comments.; Compare to 050721."
3691,Rest Day
3692,"Three rounds for time of:  Row 1000 meters  95 lb Thruster, 21 reps; Post time to comments."
3693,Split Jerk 3-2-2-2-1-1-1-1-1 reps; Post loads to comments.
3694,Helen; Three rounds for time:  Run 400 meters  1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)  12 Pull-ups; Post time to comments.; Compare to 070116.
3695,Rest Day
3696,"Three rounds, 50-30- and 20 reps, for time of:  Double-unders  Push-ups  Pull-ups; Post time to comments."
3697,Front Squat 3-3-3-3-3-3-3 reps; Post loads to comments.; Compare to 061123.
3698,Run 5 K; Post time to comments.; Compare to 070122.
3699,Rest Day
3700,"Three rounds for time of:  Row 500 meters  Bench press body weight, 30 reps; Post time to comments.; Run 400 meters if you don't have a C2 Rower."
3701,"For time:  Run 800 meters  45 lb One arm dumbbell snatches, alternating arms, 20 reps  45 lb Dumbbell squat cleans, 20 reps  100 Sit-ups  45 lb Dumbbell squat cleans, 20 reps  45 lb One arm dumbbell snatches, alternating arms, 20 reps  Run 800 meters; Post time to comments."
3702,Back Squat 3-3-3-3-3-3-3 reps; Post loads to comments.
3703,Rest Day
3704,Ten sprints for time:  Run 100 meters; Post best and worst time to comments.
3705,"Josh; For time:  95 pound Overhead squat, 21 reps  42 Pull-ups  95 pound Overhead squat, 15 reps  30 Pull-ups  95 pound Overhead squat, 9 reps  18 Pull-ups; Post time to comments."
3706,"Cindy  Complete as many rounds in 20 minutes as you can of:  5 Pull-ups  10 Push-ups  15 Squats; OR; ""Mary""  Complete as many rounds in 20 minutes as you can of:  5 Handstand Push-ups  10 One legged squats, alternating  15 Pull-ups; Post your choice of girls and rounds completed to comments.; Compare to 070118."
3707,Rest Day
3708,Overhead Squat 1-1-1-1-1-1-1 reps; Post loads to comments.
3709,For time:  30 Handstand push-ups  10 Pull-ups  20 Handstand push-ups  20 Pull-ups  10 Handstand push-ups  30 Pull-ups; Post time to comments.
3710,Deadlift 1-1-1-1-1-1-1 reps; Post loads to comments.; Compare to 070130.
3711,Rest Day
3712,"Barbara; Five rounds, each for time of:  20 Pull-ups  30 Push-ups  40 Sit-ups  50 Squats; Rest precisely three minutes between each round.; Post time for each of five rounds to comments.; Compare to 061130."
3713,Three rounds for time of:  Run 800 meters  Rest 2 minutes; Post time to comments.
3714,"CrossFit Total; Back squat, 1 rep  Shoulder Press, 1 rep  Deadlift, 1 rep; Post total to comments.; Compare to 070120."
3715,Rest Day
3716,Linda; 10-9-8-7-6-5-4-3-2-1 reps of the triplet:; Deadlift: 1 1/2 body weight  Bench press: body weight  Clean: 3/4 body weight; Set up three bars and storm through for time.; Post time to comments.; Compare to 061125.
3717,For time:  15 Handstand push-ups  1 L Pull-up  13 Handstand push-ups  3 L Pull-ups  11 Handstand push-ups  5 L Pull-ups  9 Handstand push-ups  7 L Pull-ups  7 Handstand push-ups  9 L Pull-ups  5 Handstand push-ups  11 L Pull-ups  3 Handstand push-ups  13 L Pull-ups  1 Handstand push-up  15 L Pull-ups; Post time to comments.; Compare to 060420.
3718,Michael; Three rounds for time of:  Run 800 meters  50 Back Extensions  50 Sit-ups; Post time to comments.; Compare to 061213.
3719,Rest Day
3720,Back Squat 3-3-3-3-3-3-3 reps; Post loads to comments.
3721,"For time:  20 inch Box jump, 50 reps  Rope climb, 5 ascents  1.5 pood Kettlebell swing, 50 reps  50 sit-ups  40 pound dumbbell Hang power clean, 50 reps  800 meter Run  50 Back extensions; Post time to comments.; Compare to 061010."
3722,Run 10K; Post time to comments.; Compare to 061201.
3723,Rest Day
